id,text,date,hashtags,rt_count,media,ext_media,place,lang,fav_count,source,Creator
1.51839E+18,Watch Dragon and the Ax-1 astronauts depart the @space_station and return to Earth → https://t.co/N3MHSxCS0k  https://t.co/JJxgD3B1rc,2022-04-25 00:30:36+00:00,,4757,,,,en,43998,Twitter Media Studio,SpaceX
1.51837E+18,"RT @NASA: We're live on NASA TV as @SpaceX's Dragon Endeavour and #Ax1 crew prepare to depart from the @Space_Station.

Hatch closure is sc…",2022-04-24 23:08:56+00:00,Ax1,528,,,,en,0,Twitter for iPhone,SpaceX
1.51828E+18,"Weather is looking good off the coast of Florida for Dragon’s and the Ax-1 astronauts’ return to Earth, departing from the @space_station tonight at ~8:55 p.m. ET→ https://t.co/N3MHSxCS0k https://t.co/mUvyNNwiqL",2022-04-24 17:26:18+00:00,,797,photo,photo,,en,6721,Twitter Web App,SpaceX
1.51753E+18,"Happy Earth Day, Earthlings https://t.co/I8ivMuC4Ev",2022-04-22 15:52:25+00:00,,3177,photo,video,,en,21983,Twitter Web App,SpaceX
1.51725E+18,"RT @flyjsx: JSX is proud to be the first air carrier to adopt @SpaceX Starlink internet inflight, free for every Customer onboard. We’d cal…",2022-04-21 21:07:04+00:00,,631,,,,en,0,Twitter Web App,SpaceX
1.51722E+18,RT @elonmusk: @SpaceX Starlink satellites deployed into initial parking orbit https://t.co/73sOZkUJaJ,2022-04-21 19:29:57+00:00,,2065,photo,photo,,en,0,Twitter Web App,SpaceX
1.5172E+18,"Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s 12th launch and landing https://t.co/6PV1bFRgar",2022-04-21 18:01:33+00:00,,5232,photo,video,,en,63927,Twitter Media Studio - LiveCut,SpaceX
1.5172E+18,Liftoff! https://t.co/mSA8WD2TTo,2022-04-21 17:52:29+00:00,,2219,photo,video,,en,24316,Twitter Media Studio - LiveCut,SpaceX
1.5172E+18,Watch Falcon 9 launch 53 Starlink satellites to orbit → https://t.co/P14Aqhp22B https://t.co/s0ZaU8ZLUo,2022-04-21 17:44:09+00:00,,2872,,,,en,24986,Twitter Media Studio,SpaceX
1.51714E+18,"Due to weather, now targeting 1:51 p.m. ET for today’s launch of Starlink",2022-04-21 14:07:16+00:00,,524,,,,en,5425,Twitter Web App,SpaceX
1.51692E+18,"Falcon 9’s first stage supporting this mission previously launched GPS III-3, Turksat 5A, Transporter-2, and eight Starlink missions",2022-04-20 23:06:45+00:00,,158,,,,en,2517,Twitter Web App,SpaceX
1.51692E+18,"Targeting tomorrow, April 21 for a Falcon 9 launch of 53 Starlink satellites to orbit from SLC-40 in Florida → https://t.co/P14Aqhp22B",2022-04-20 23:06:45+00:00,,542,,,,en,5109,Twitter Web App,SpaceX
1.51678E+18,Static fire test of Falcon 9 complete ahead of the Crew-4 mission to the @space_station,2022-04-20 14:12:28+00:00,,406,,,,en,5850,Twitter Web App,SpaceX
1.51676E+18,"Crew-4 astronauts, SpaceX, and @NASA completed a full rehearsal of launch day activities https://t.co/b6AtNdJMxT",2022-04-20 13:04:19+00:00,,897,photo,"photo, photo",,en,10542,Twitter Web App,SpaceX
1.51643E+18,Falcon 9 and Dragon rolling out of the hangar at Launch Complex 39A https://t.co/1Px79itrQJ,2022-04-19 14:57:56+00:00,,1414,photo,"photo, photo, photo",,en,14717,Twitter Web App,SpaceX
1.51914E+18,JA!!!!!!! 💪🏾,2022-04-27 02:21:12+00:00,,8664,,,,und,126945,Twitter for iPhone,LBJ
1.51912E+18,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/7VmK7RSOzu,2022-04-27 01:12:59+00:00,,535,,,,und,7575,Twitter for iPhone,LBJ
1.51885E+18,@djstephfloss Definitely pulling up to one of those dates!,2022-04-26 07:11:21+00:00,,52,,,,en,2142,Twitter for iPhone,LBJ
1.51876E+18,YESSIR @TheRealJRSmith!! Proud of you Kid!!! Love bro https://t.co/gqwOLnlcdw,2022-04-26 01:28:57+00:00,,3782,,,,en,83038,Twitter for iPhone,LBJ
1.51849E+18,@CuffsTheLegend 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2022-04-25 07:11:46+00:00,,65,,,,und,3213,Twitter for iPhone,LBJ
1.51844E+18,@DWRIGHTWAY1 Makes no damn sense. Kids can’t even get a meal in before the game. Shit half of them probably ain’t even brush their teeth. Hahaha 😷,2022-04-25 03:42:27+00:00,,49,,,,en,2413,Twitter for iPhone,LBJ
1.51823E+18,Man playing a game before noon should be outlawed! 8am game is insane!,2022-04-24 13:47:31+00:00,,2435,,,,en,78428,Twitter for iPhone,LBJ
1.51801E+18,Get one stop and its a 3 games series,2022-04-23 23:17:36+00:00,,988,,,,en,37375,Twitter for iPhone,LBJ
1.518E+18,LUKA!!!!!!!! 🗣🗣🗣🗣🗣🗣🗣,2022-04-23 23:12:14+00:00,,3315,,,,in,42272,Twitter for iPhone,LBJ
1.51777E+18,@jj_redick 🙏🏾. Heard you have one damn good podcast too! May have to jump on with you sometime soon,2022-04-23 07:26:29+00:00,,1079,,,,en,41260,Twitter for iPhone,LBJ
1.51777E+18,@BJwhite Damn right!! 03 was simply INCREDIBLE,2022-04-23 07:23:44+00:00,,37,,,,en,1379,Twitter for iPhone,LBJ
1.51777E+18,POINT GOD you ain’t right! 😂😂😂😂,2022-04-23 07:22:13+00:00,,1515,,,,en,48007,Twitter for iPhone,LBJ
1.51766E+18,I can/will NOT miss the post season again for my career! This shit HURT. Ok back to watching these games.,2022-04-23 00:29:47+00:00,,18137,,,,en,220486,Twitter for iPhone,LBJ
1.51766E+18,@jaytatum0 @Dame_Lillard Facts for!! 🔥🔥🔥🔥🔥🔥 ass pic,2022-04-23 00:26:38+00:00,,275,,,,en,9616,Twitter for iPhone,LBJ
1.51766E+18,"Love hearing JJ Redick on the game! Smart, insightful dude. And low key/high key funny!",2022-04-23 00:26:17+00:00,,3147,,,,en,77032,Twitter for iPhone,LBJ
1.51737E+18,@KingJosiah54 😂😂😂😂😂😂😂😂,2022-04-22 05:14:48+00:00,,149,,,,und,6792,Twitter for iPhone,LBJ
1.51735E+18,Spencer and Jalen dominated that game from the jump to the end. Big time Dub!!,2022-04-22 03:58:05+00:00,,1981,,,,en,41684,Twitter for iPhone,LBJ
1.5173E+18,The majority of Playoff games are won on how you close each quarter,2022-04-22 00:38:37+00:00,,3951,,,,en,90016,Twitter for iPhone,LBJ
1.5173E+18,The Pit Bull is balling right now! Locked in,2022-04-22 00:24:27+00:00,,819,,,,en,21289,Twitter for iPhone,LBJ
1.5169E+18,"RT @LJFamFoundation: Let's make today great, Promise Keepers! 💪🏾👑 ~ @KingJames https://t.co/WS43LgdJSd",2022-04-20 22:10:05+00:00,,192,photo,video,,en,0,Twitter for iPhone,LBJ
1.51663E+18,@DwyaneWade I see no lie told! They are 2 of the most skilled players of ALL-TIME,2022-04-20 04:18:02+00:00,,1812,,,,en,32155,Twitter for iPhone,LBJ
1.51941E+18,@everliz41 At least it'll be a dream vacation. 💭,2022-04-27 20:30:19+00:00,,0,,,,en,1,Khoros CX,BB
1.51939E+18,@_Virgho_ So which one did you choose?,2022-04-27 19:15:30+00:00,,0,,,,en,0,Khoros CX,BB
1.51939E+18,@CyberLifeStorm Great selections.,2022-04-27 19:11:25+00:00,,0,,,,en,0,Khoros CX,BB
1.51939E+18,@Gixxermike158 Oh no!,2022-04-27 18:43:56+00:00,,0,,,,en,0,Khoros CX,BB
